Time	Node	Type	Packets	
16.5	rtr-1	CacheHits	0
16.5	rtr-1	CacheMisses	100
16.5	rtr-2	CacheHits	0
16.5	rtr-2	CacheMisses	100
16.5	root	CacheHits	0
16.5	root	CacheMisses	200
17	leaf-1	CacheHits	0
17	leaf-1	CacheMisses	50
17	leaf-2	CacheHits	0
17	leaf-2	CacheMisses	50
17	leaf-3	CacheHits	0
17	leaf-3	CacheMisses	50
17	leaf-4	CacheHits	0
17	leaf-4	CacheMisses	50
17	rtr-1	CacheHits	0
17	rtr-1	CacheMisses	100
17	rtr-2	CacheHits	0
17	rtr-2	CacheMisses	100
17	root	CacheHits	0
17	root	CacheMisses	200
17.5	leaf-1	CacheHits	0
17.5	leaf-1	CacheMisses	50
17.5	leaf-2	CacheHits	0
17.5	leaf-2	CacheMisses	50
17.5	leaf-3	CacheHits	0
17.5	leaf-3	CacheMisses	50
17.5	leaf-4	CacheHits	0
17.5	leaf-4	CacheMisses	50
17.5	rtr-1	CacheHits	0
17.5	rtr-1	CacheMisses	100
17.5	rtr-2	CacheHits	0
17.5	rtr-2	CacheMisses	100
17.5	root	CacheHits	0
17.5	root	CacheMisses	200
18	leaf-1	CacheHits	0
18	leaf-1	CacheMisses	50
18	leaf-2	CacheHits	0
18	leaf-2	CacheMisses	50
18	leaf-3	CacheHits	0
18	leaf-3	CacheMisses	50
18	leaf-4	CacheHits	0
18	leaf-4	CacheMisses	50
18	rtr-1	CacheHits	0
18	rtr-1	CacheMisses	100
18	rtr-2	CacheHits	0
18	rtr-2	CacheMisses	100
18	root	CacheHits	0
18	root	CacheMisses	200
18.5	leaf-1	CacheHits	0
18.5	leaf-1	CacheMisses	50
18.5	leaf-2	CacheHits	0
18.5	leaf-2	CacheMisses	50
18.5	leaf-3	CacheHits	0
18.5	leaf-3	CacheMisses	50
18.5	leaf-4	CacheHits	0
18.5	leaf-4	CacheMisses	50
18.5	rtr-1	CacheHits	0
18.5	rtr-1	CacheMisses	100
18.5	rtr-2	CacheHits	0
18.5	rtr-2	CacheMisses	100
18.5	root	CacheHits	0
18.5	root	CacheMisses	200
19	leaf-1	CacheHits	0
19	leaf-1	CacheMisses	50
19	leaf-2	CacheHits	0
19	leaf-2	CacheMisses	50
19	leaf-3	CacheHits	0
19	leaf-3	CacheMisses	50
19	leaf-4	CacheHits	0
19	leaf-4	CacheMisses	50
19	rtr-1	CacheHits	0
19	rtr-1	CacheMisses	100
19	rtr-2	CacheHits	0
19	rtr-2	CacheMisses	100
19	root	CacheHits	0
19	root	CacheMisses	200
19.5	leaf-1	CacheHits	0
19.5	leaf-1	CacheMisses	50
19.5	leaf-2	CacheHits	0
19.5	leaf-2	CacheMisses	50
19.5	leaf-3	CacheHits	0
19.5	leaf-3	CacheMisses	50
19.5	leaf-4	CacheHits	0
19.5	leaf-4	CacheMisses	50
19.5	rtr-1	CacheHits	0
19.5	rtr-1	CacheMisses	100
19.5	rtr-2	CacheHits	0
19.5	rtr-2	CacheMisses	100
19.5	root	CacheHits	0
19.5	root	CacheMisses	200
