Time	Node	Type	Packets	
17.5	1	CacheMisses	50
17.5	2	CacheHits	0
17.5	2	CacheMisses	50
17.5	3	CacheHits	0
17.5	3	CacheMisses	50
18	0	CacheHits	0
18	0	CacheMisses	50
18	1	CacheHits	0
18	1	CacheMisses	50
18	2	CacheHits	0
18	2	CacheMisses	50
18	3	CacheHits	0
18	3	CacheMisses	50
18.5	0	CacheHits	0
18.5	0	CacheMisses	50
18.5	1	CacheHits	0
18.5	1	CacheMisses	50
18.5	2	CacheHits	0
18.5	2	CacheMisses	50
18.5	3	CacheHits	0
18.5	3	CacheMisses	50
19	0	CacheHits	0
19	0	CacheMisses	50
19	1	CacheHits	0
19	1	CacheMisses	50
19	2	CacheHits	0
19	2	CacheMisses	50
19	3	CacheHits	0
19	3	CacheMisses	50
19.5	0	CacheHits	0
19.5	0	CacheMisses	50
19.5	1	CacheHits	0
19.5	1	CacheMisses	50
19.5	2	CacheHits	0
19.5	2	CacheMisses	50
19.5	3	CacheHits	0
19.5	3	CacheMisses	50
